case,t,start_x,target_x,side,agent_x,agent_y,action_x,action_y,blocked,next_x,next_y
12,2,0,-0.62,-1,-0.140935987234,-0.492707371712,-0.440425008535,0.897789418697,0,-0.211403995752,-0.349061071873
13,2,0,-0.62,1,0.140935987234,-0.492707371712,0.440425008535,0.897789418697,0,0.211403995752,-0.349061071873
14,2,0,0,-1,-0.140935987234,-0.492707371712,-0.440425008535,0.897789418697,0,-0.211403995752,-0.349061071873
15,2,0,0,1,0.140935987234,-0.492707371712,0.440425008535,0.897789418697,0,0.211403995752,-0.349061071873
16,2,0,0.62,-1,-0.140935987234,-0.492707371712,-0.440425008535,0.897789418697,0,-0.211403995752,-0.349061071873
17,2,0,0.62,1,0.140935987234,-0.492707371712,0.440425008535,0.897789418697,0,0.211403995752,-0.349061071873
18,2,0.125,-0.62,-1,-0.0413421168923,-0.506631553173,-0.51981908083,0.854276418686,0,-0.124513171613,-0.369947314262
19,2,0.125,-0.62,1,0.236739218235,-0.480142802,0.349185109138,0.937053740025,0,0.292608827353,-0.330214202404
20,2,0.125,0,-1,-0.0413421168923,-0.506631553173,-0.51981908083,0.854276418686,0,-0.124513171613,-0.369947314262
21,2,0.125,0,1,0.236739218235,-0.480142802,0.349185109138,0.937053740025,0,0.292608827353,-0.330214202404
22,2,0.125,0.62,-1,-0.0413421168923,-0.506631553173,-0.51981908083,0.854276418686,0,-0.124513171613,-0.369947314262
23,2,0.125,0.62,1,0.236739218235,-0.480142802,0.349185109138,0.937053740025,0,0.292608827353,-0.330214202404
24,2,0.25,-0.62,-1,0.061930321157,-0.521098852158,-0.58771777153,0.809065997601,0,-0.0321045219898,-0.391648292542
25,2,0.25,-0.62,1,0.328987300396,-0.469901561737,0.246835410595,0.969057440758,0,0.368480980396,-0.314852356911
26,2,0.25,0,-1,0.061930321157,-0.521098852158,-0.58771777153,0.809065997601,0,-0.0321045219898,-0.391648292542
27,2,0.25,0,1,0.328987300396,-0.469901561737,0.246835410595,0.969057440758,0,0.368480980396,-0.314852356911
28,2,0.25,0.62,-1,0.061930321157,-0.521098852158,-0.58771777153,0.809065997601,0,-0.0321045219898,-0.391648292542
29,2,0.25,0.62,1,0.328987300396,-0.469901561737,0.246835410595,0.969057440758,0,0.368480980396,-0.314852356911
0,3,-0.25,-0.62,-1,-0.368480980396,-0.314852356911,-0.246835410595,0.969057440758,0,-0.407974660397,-0.159803166986
1,3,-0.25,-0.62,1,0.0321045219898,-0.391648292542,0.58771777153,0.809065997601,0,0.126139372587,-0.262197732925
2,3,-0.25,0,-1,-0.368480980396,-0.314852356911,-0.246835410595,0.969057440758,0,-0.407974660397,-0.159803166986
3,3,-0.25,0,1,0.0321045219898,-0.391648292542,0.58771777153,0.809065997601,0,0.126139372587,-0.262197732925
4,3,-0.25,0.62,-1,-0.368480980396,-0.314852356911,-0.246835410595,0.969057440758,0,-0.407974660397,-0.159803166986
5,3,-0.25,0.62,1,0.0321045219898,-0.391648292542,0.58771777153,0.809065997601,0,0.126139372587,-0.262197732925
6,3,-0.125,-0.62,-1,-0.292608827353,-0.330214202404,-0.349185109138,0.937053740025,0,-0.34847843647,-0.180285602808
7,3,-0.125,-0.62,1,0.124513171613,-0.369947314262,0.519819140434,0.854276418686,0,0.207684233785,-0.233263090253
8,3,-0.125,0,-1,-0.292608827353,-0.330214202404,-0.349185109138,0.937053740025,0,-0.34847843647,-0.180285602808
9,3,-0.125,0,1,0.124513171613,-0.369947314262,0.519819140434,0.854276418686,0,0.207684233785,-0.233263090253
10,3,-0.125,0.62,-1,-0.292608827353,-0.330214202404,-0.349185109138,0.937053740025,0,-0.34847843647,-0.180285602808
11,3,-0.125,0.62,1,0.124513171613,-0.369947314262,0.519819140434,0.854276418686,0,0.207684233785,-0.233263090253
12,3,0,-0.62,-1,-0.211403995752,-0.349061071873,-0.440424948931,0.897789359093,0,-0.281871974468,-0.205414772034
13,3,0,-0.62,1,0.211403995752,-0.349061071873,0.440424948931,0.897789359093,0,0.281871974468,-0.205414772034
14,3,0,0,-1,-0.211403995752,-0.349061071873,-0.440424948931,0.897789359093,0,-0.281871974468,-0.205414772034
15,3,0,0,1,0.211403995752,-0.349061071873,0.440424948931,0.897789359093,0,0.281871974468,-0.205414772034
16,3,0,0.62,-1,-0.211403995752,-0.349061071873,-0.440424948931,0.897789359093,0,-0.281871974468,-0.205414772034
17,3,0,0.62,1,0.211403995752,-0.349061071873,0.440424948931,0.897789359093,0,0.281871974468,-0.205414772034
18,3,0.125,-0.62,-1,-0.124513171613,-0.369947314262,-0.519819140434,0.854276418686,0,-0.207684233785,-0.233263090253
19,3,0.125,-0.62,1,0.292608827353,-0.330214202404,0.349185109138,0.937053740025,0,0.34847843647,-0.180285602808
20,3,0.125,0,-1,-0.124513171613,-0.369947314262,-0.519819140434,0.854276418686,0,-0.207684233785,-0.233263090253
21,3,0.125,0,1,0.292608827353,-0.330214202404,0.349185109138,0.937053740025,0,0.34847843647,-0.180285602808
22,3,0.125,0.62,-1,-0.124513171613,-0.369947314262,-0.519819140434,0.854276418686,0,-0.207684233785,-0.233263090253
23,3,0.125,0.62,1,0.292608827353,-0.330214202404,0.349185109138,0.937053740025,0,0.34847843647,-0.180285602808
24,3,0.25,-0.62,-1,-0.0321045219898,-0.391648292542,-0.58771777153,0.809065997601,0,-0.126139372587,-0.262197732925
25,3,0.25,-0.62,1,0.368480980396,-0.314852356911,0.246835410595,0.969057440758,0,0.407974660397,-0.159803166986
26,3,0.25,0,-1,-0.0321045219898,-0.391648292542,-0.58771777153,0.809065997601,0,-0.126139372587,-0.262197732925
27,3,0.25,0,1,0.368480980396,-0.314852356911,0.246835410595,0.969057440758,0,0.407974660397,-0.159803166986
28,3,0.25,0.62,-1,-0.0321045219898,-0.391648292542,-0.58771777153,0.809065997601,0,-0.126139372587,-0.262197732925
29,3,0.25,0.62,1,0.368480980396,-0.314852356911,0.246835410595,0.969057440758,0,0.407974660397,-0.159803166986
0,4,-0.25,-0.62,-1,-0.407974660397,-0.159803166986,-0.246835336089,0.969057381153,0,-0.447468310595,-0.00475399196148
1,4,-0.25,-0.62,1,0.126139372587,-0.262197732925,0.58771777153,0.809065997601,0,0.220174223185,-0.132747173309
2,4,-0.25,0,-1,-0.407974660397,-0.159803166986,-0.246835336089,0.969057381153,0,-0.447468310595,-0.00475399196148
3,4,-0.25,0,1,0.126139372587,-0.262197732925,0.58771777153,0.809065997601,0,0.220174223185,-0.132747173309
4,4,-0.25,0.62,-1,-0.407974660397,-0.159803166986,-0.246835336089,0.969057381153,0,-0.447468310595,-0.00475399196148
5,4,-0.25,0.62,1,0.126139372587,-0.262197732925,0.58771777153,0.809065997601,0,0.220174223185,-0.132747173309
6,4,-0.125,-0.62,-1,-0.34847843647,-0.180285602808,-0.349185168743,0.937053740025,0,-0.40434807539,-0.030357003212
7,4,-0.125,-0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
8,4,-0.125,0,-1,-0.34847843647,-0.180285602808,-0.349185168743,0.937053740025,0,-0.40434807539,-0.030357003212
9,4,-0.125,0,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
10,4,-0.125,0.62,-1,-0.34847843647,-0.180285602808,-0.349185168743,0.937053740025,0,-0.40434807539,-0.030357003212
11,4,-0.125,0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
12,4,0,-0.62,-1,-0.281871974468,-0.205414772034,-0.440424978733,0.897789359093,0,-0.352339982986,-0.0617684721947
13,4,0,-0.62,1,0.281871974468,-0.205414772034,0.440424978733,0.897789359093,0,0.352339982986,-0.0617684721947
14,4,0,0,-1,-0.281871974468,-0.205414772034,-0.440424978733,0.897789359093,0,-0.352339982986,-0.0617684721947
15,4,0,0,1,0.281871974468,-0.205414772034,0.440424978733,0.897789359093,0,0.352339982986,-0.0617684721947
16,4,0,0.62,-1,-0.281871974468,-0.205414772034,-0.440424978733,0.897789359093,0,-0.352339982986,-0.0617684721947
17,4,0,0.62,1,0.281871974468,-0.205414772034,0.440424978733,0.897789359093,0,0.352339982986,-0.0617684721947
18,4,0.125,-0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
19,4,0.125,-0.62,1,0.34847843647,-0.180285602808,0.349185168743,0.937053740025,0,0.40434807539,-0.030357003212
20,4,0.125,0,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
21,4,0.125,0,1,0.34847843647,-0.180285602808,0.349185168743,0.937053740025,0,0.40434807539,-0.030357003212
22,4,0.125,0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
23,4,0.125,0.62,1,0.34847843647,-0.180285602808,0.349185168743,0.937053740025,0,0.40434807539,-0.030357003212
24,4,0.25,-0.62,-1,-0.126139372587,-0.262197732925,-0.58771777153,0.809065997601,0,-0.220174223185,-0.132747173309
25,4,0.25,-0.62,1,0.407974660397,-0.159803166986,0.246835336089,0.969057381153,0,0.447468310595,-0.00475399196148
26,4,0.25,0,-1,-0.126139372587,-0.262197732925,-0.58771777153,0.809065997601,0,-0.220174223185,-0.132747173309
27,4,0.25,0,1,0.407974660397,-0.159803166986,0.246835336089,0.969057381153,0,0.447468310595,-0.00475399196148
28,4,0.25,0.62,-1,-0.126139372587,-0.262197732925,-0.58771777153,0.809065997601,0,-0.220174223185,-0.132747173309
29,4,0.25,0.62,1,0.407974660397,-0.159803166986,0.246835336089,0.969057381153,0,0.447468310595,-0.00475399196148
0,5,-0.25,-0.62,-1,-0.447468310595,-0.00475399196148,-0.246835365891,0.969057440758,0,-0.486961960793,0.150295197964
1,5,-0.25,-0.62,1,0.220174223185,-0.132747173309,0.58771777153,0.809066057205,0,0.314209073782,-0.00329661369324
2,5,-0.25,0,-1,-0.447468310595,-0.00475399196148,-0.246835365891,0.969057440758,0,-0.486961960793,0.150295197964
3,5,-0.25,0,1,0.220174223185,-0.132747173309,0.58771777153,0.809066057205,0,0.314209073782,-0.00329661369324
4,5,-0.25,0.62,-1,-0.447468310595,-0.00475399196148,-0.246835365891,0.969057440758,0,-0.486961960793,0.150295197964
5,5,-0.25,0.62,1,0.220174223185,-0.132747173309,0.58771777153,0.809066057205,0,0.314209073782,-0.00329661369324
6,5,-0.125,-0.62,-1,-0.40434807539,-0.030357003212,-0.349185138941,0.937053740025,0,-0.460217684507,0.119571596384
7,5,-0.125,-0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
8,5,-0.125,0,-1,-0.40434807539,-0.030357003212,-0.349185138941,0.937053740025,0,-0.460217684507,0.119571596384
9,5,-0.125,0,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
10,5,-0.125,0.62,-1,-0.40434807539,-0.030357003212,-0.349185138941,0.937053740025,0,-0.460217684507,0.119571596384
11,5,-0.125,0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
12,5,0,-0.62,-1,-0.352339982986,-0.0617684721947,-0.440424978733,0.897789418697,0,-0.422807991505,0.0818778276443
13,5,0,-0.62,1,0.352339982986,-0.0617684721947,0.440424978733,0.897789418697,0,0.422807991505,0.0818778276443
14,5,0,0,-1,-0.352339982986,-0.0617684721947,-0.440424978733,0.897789418697,0,-0.422807991505,0.0818778276443
15,5,0,0,1,0.352339982986,-0.0617684721947,0.440424978733,0.897789418697,0,0.422807991505,0.0818778276443
16,5,0,0.62,-1,-0.352339982986,-0.0617684721947,-0.440424978733,0.897789418697,0,-0.422807991505,0.0818778276443
17,5,0,0.62,1,0.352339982986,-0.0617684721947,0.440424978733,0.897789418697,0,0.422807991505,0.0818778276443
18,5,0.125,-0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
19,5,0.125,-0.62,1,0.40434807539,-0.030357003212,0.349185138941,0.937053740025,0,0.460217684507,0.119571596384
20,5,0.125,0,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
21,5,0.125,0,1,0.40434807539,-0.030357003212,0.349185138941,0.937053740025,0,0.460217684507,0.119571596384
22,5,0.125,0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
23,5,0.125,0.62,1,0.40434807539,-0.030357003212,0.349185138941,0.937053740025,0,0.460217684507,0.119571596384
24,5,0.25,-0.62,-1,-0.220174223185,-0.132747173309,-0.58771777153,0.809066057205,0,-0.314209073782,-0.00329661369324
25,5,0.25,-0.62,1,0.447468310595,-0.00475399196148,0.246835365891,0.969057440758,0,0.486961960793,0.150295197964
26,5,0.25,0,-1,-0.220174223185,-0.132747173309,-0.58771777153,0.809066057205,0,-0.314209073782,-0.00329661369324
27,5,0.25,0,1,0.447468310595,-0.00475399196148,0.246835365891,0.969057440758,0,0.486961960793,0.150295197964
28,5,0.25,0.62,-1,-0.220174223185,-0.132747173309,-0.58771777153,0.809066057205,0,-0.314209073782,-0.00329661369324
29,5,0.25,0.62,1,0.447468310595,-0.00475399196148,0.246835365891,0.969057440758,0,0.486961960793,0.150295197964
0,6,-0.25,-0.62,-1,-0.486961960793,0.150295197964,-0.227402940392,0.973800778389,0,-0.523346424103,0.30610331893
1,6,-0.25,-0.62,1,0.314209073782,-0.00329661369324,0.587717711926,0.809066057205,0,0.408243894577,0.126153945923
2,6,-0.25,0,-1,-0.486961960793,0.150295197964,0.649747431278,0.760150194168,0,-0.383002370596,0.271919220686
3,6,-0.25,0,1,0.314209073782,-0.00329661369324,0.587717711926,0.809066057205,0,0.408243894577,0.126153945923
4,6,-0.25,0.62,-1,-0.486961960793,0.150295197964,0.889153718948,0.457608491182,0,-0.344697356224,0.223512560129
5,6,-0.25,0.62,1,0.314209073782,-0.00329661369324,0.587717711926,0.809066057205,0,0.408243894577,0.126153945923
6,6,-0.125,-0.62,-1,-0.460217684507,0.119571596384,-0.349185198545,0.93705368042,0,-0.516087293625,0.26950019598
7,6,-0.125,-0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
8,6,-0.125,0,-1,-0.460217684507,0.119571596384,-0.349185198545,0.93705368042,0,-0.516087293625,0.26950019598
9,6,-0.125,0,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
10,6,-0.125,0.62,-1,-0.460217684507,0.119571596384,-0.349185198545,0.93705368042,0,-0.516087293625,0.26950019598
11,6,-0.125,0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
12,6,0,-0.62,-1,-0.422807991505,0.0818778276443,-0.440424919128,0.897789418697,0,-0.493275970221,0.225524127483
13,6,0,-0.62,1,0.422807991505,0.0818778276443,0.440424919128,0.897789418697,0,0.493275970221,0.225524127483
14,6,0,0,-1,-0.422807991505,0.0818778276443,-0.440424919128,0.897789418697,0,-0.493275970221,0.225524127483
15,6,0,0,1,0.422807991505,0.0818778276443,0.440424919128,0.897789418697,0,0.493275970221,0.225524127483
16,6,0,0.62,-1,-0.422807991505,0.0818778276443,-0.440424919128,0.897789418697,0,-0.493275970221,0.225524127483
17,6,0,0.62,1,0.422807991505,0.0818778276443,0.440424919128,0.897789418697,0,0.493275970221,0.225524127483
18,6,0.125,-0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
19,6,0.125,-0.62,1,0.460217684507,0.119571596384,0.349185198545,0.93705368042,0,0.516087293625,0.26950019598
20,6,0.125,0,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
21,6,0.125,0,1,0.460217684507,0.119571596384,0.349185198545,0.93705368042,0,0.516087293625,0.26950019598
22,6,0.125,0.62,-1,-0.207684233785,-0.233263090253,-0.51981908083,0.854276359081,1,-0.207684233785,-0.233263090253
23,6,0.125,0.62,1,0.460217684507,0.119571596384,0.349185198545,0.93705368042,0,0.516087293625,0.26950019598
24,6,0.25,-0.62,-1,-0.314209073782,-0.00329661369324,-0.587717711926,0.809066057205,0,-0.408243894577,0.126153945923
25,6,0.25,-0.62,1,0.486961960793,0.150295197964,-0.889153718948,0.457608491182,0,0.344697356224,0.223512560129
26,6,0.25,0,-1,-0.314209073782,-0.00329661369324,-0.587717711926,0.809066057205,0,-0.408243894577,0.126153945923
27,6,0.25,0,1,0.486961960793,0.150295197964,-0.649747431278,0.760150194168,0,0.383002370596,0.271919220686
28,6,0.25,0.62,-1,-0.314209073782,-0.00329661369324,-0.587717711926,0.809066057205,0,-0.408243894577,0.126153945923
29,6,0.25,0.62,1,0.486961960793,0.150295197964,0.227402940392,0.973800778389,0,0.523346424103,0.30610331893
0,7,-0.25,-0.62,-1,-0.523346424103,0.30610331893,-0.227402940392,0.973800778389,0,-0.559730887413,0.461911439896
1,7,-0.25,-0.62,1,0.408243894577,0.126153945923,0.587717711926,0.809065997601,0,0.502278745174,0.255604505539
2,7,-0.25,0,-1,-0.383002370596,0.271919220686,0.649747431278,0.760150253773,0,-0.279042780399,0.393543243408
3,7,-0.25,0,1,0.408243894577,0.126153945923,0.587717711926,0.809065997601,0,0.502278745174,0.255604505539
4,7,-0.25,0.62,-1,-0.344697356224,0.223512560129,0.889153778553,0.457608520985,0,-0.202432751656,0.296729922295
5,7,-0.25,0.62,1,0.408243894577,0.126153945923,0.587717711926,0.809065997601,0,0.502278745174,0.255604505539
6,7,-0.125,-0.62,-1,-0.516087293625,0.26950019598,-0.224759325385,0.974414348602,0,-0.552048802376,0.425406485796
7,7,-0.125,-0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
8,7,-0.125,0,-1,-0.516087293625,0.26950019598,0.75335496664,0.6576141119,0,-0.395550489426,0.37471845746
9,7,-0.125,0,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
10,7,-0.125,0.62,-1,-0.516087293625,0.26950019598,0.929582834244,0.36861333251,0,-0.367354035378,0.328478336334
11,7,-0.125,0.62,1,0.207684233785,-0.233263090253,0.51981908083,0.854276359081,1,0.207684233785,-0.233263090253
12,7,0,-0.62,-1,-0.493275970221,0.225524127483,-0.248256489635,0.968694329262,0,-0.532997012138,0.380515217781
13,7,0,-0.62,1,0.493275970221,0.225524127483,-0.913907051086,0.405923604965,0,0.347050845623,0.29047191143
14,7,0,0,-1,-0.493275970221,0.225524127483,0.706247270107,0.707965254784,0,-0.380276411772,0.338798582554
15,7,0,0,1,0.493275970221,0.225524127483,-0.706247270107,0.707965254784,0,0.380276411772,0.338798582554
16,7,0,0.62,-1,-0.493275970221,0.225524127483,0.913907051086,0.405923604965,0,-0.347050845623,0.29047191143
